1.588812099999999949e+00	1.176776700000000009e+00	-4.267767000000000088e-01	-2.405281899999999862e+00	-4.000000000000000000e+00	2.500000000000000000e-01	2.500000000000000000e-01
1.613345900000000110e+00	1.158598299999999970e+00	-4.432526099999999913e-01	-2.503456599999999810e+00	-4.000000000000000000e+00	2.500000000000000000e-01	2.500000000000000000e-01
1.637879800000000108e+00	1.138892599999999922e+00	-4.578673999999999800e-01	-2.601631400000000038e+00	-4.000000000000000000e+00	2.500000000000000000e-01	2.500000000000000000e-01
1.662413600000000047e+00	1.117849199999999987e+00	-4.704803200000000074e-01	-2.699806199999999823e+00	-4.000000000000000000e+00	2.500000000000000000e-01	2.500000000000000000e-01
1.686947399999999986e+00	1.095670900000000003e+00	-4.809698800000000163e-01	-2.797981000000000051e+00	-4.000000000000000000e+00	2.500000000000000000e-01	2.500000000000000000e-01
1.711481299999999983e+00	1.072571200000000058e+00	-4.892350799999999889e-01	-2.896155700000000000e+00	-4.000000000000000000e+00	2.500000000000000000e-01	2.500000000000000000e-01
1.736015099999999922e+00	1.048772599999999944e+00	-4.951963200000000231e-01	-2.994330499999999784e+00	-4.000000000000000000e+00	2.500000000000000000e-01	2.500000000000000000e-01
1.760548999999999920e+00	1.024504300000000034e+00	-4.987961799999999779e-01	-3.092505300000000013e+00	-4.000000000000000000e+00	2.500000000000000000e-01	2.500000000000000000e-01
1.785082800000000081e+00	1.000000000000000000e+00	-5.000000000000000000e-01	-3.092505300000000013e+00	4.000000000000000000e+00	2.500000000000000000e-01	2.500000000000000000e-01
1.809616600000000020e+00	9.754957100000000159e-01	-5.012038199999999666e-01	-2.994330499999999784e+00	4.000000000000000000e+00	2.500000000000000000e-01	2.500000000000000000e-01
1.834150500000000017e+00	9.512274200000000457e-01	-5.048036799999999769e-01	-2.896155700000000000e+00	4.000000000000000000e+00	2.500000000000000000e-01	2.500000000000000000e-01
1.858684299999999956e+00	9.274288299999999818e-01	-5.107649199999999556e-01	-2.797981000000000051e+00	4.000000000000000000e+00	2.500000000000000000e-01	2.500000000000000000e-01
1.883218099999999895e+00	9.043291399999999758e-01	-5.190301200000000392e-01	-2.699806199999999823e+00	4.000000000000000000e+00	2.500000000000000000e-01	2.500000000000000000e-01
1.907751999999999892e+00	8.821508200000000022e-01	-5.295196800000000481e-01	-2.601631400000000038e+00	4.000000000000000000e+00	2.500000000000000000e-01	2.500000000000000000e-01
1.932285800000000053e+00	8.611074399999999462e-01	-5.421325999999999645e-01	-2.503456599999999810e+00	4.000000000000000000e+00	2.500000000000000000e-01	2.500000000000000000e-01
1.956819599999999992e+00	8.414016800000000407e-01	-5.567473899999999531e-01	-2.405281899999999862e+00	4.000000000000000000e+00	2.500000000000000000e-01	2.500000000000000000e-01
1.981353499999999990e+00	8.232232999999999912e-01	-5.732232999999999912e-01	-2.307107100000000077e+00	4.000000000000000000e+00	2.500000000000000000e-01	2.500000000000000000e-01
2.005887299999999929e+00	8.067473899999999531e-01	-5.914016800000000407e-01	-2.208932299999999849e+00	4.000000000000000000e+00	2.500000000000000000e-01	2.500000000000000000e-01
2.030421200000000148e+00	7.921325999999999645e-01	-6.111074399999999462e-01	-2.110757599999999901e+00	4.000000000000000000e+00	2.500000000000000000e-01	2.500000000000000000e-01
2.054955000000000087e+00	7.795196800000000481e-01	-6.321508200000000022e-01	-2.012582800000000116e+00	4.000000000000000000e+00	2.500000000000000000e-01	2.500000000000000000e-01
